SkyId,pred_x1,pred_y1,pred_d,pred_norm,best_x1,best_y1,best_norm,best_norm
Sky1,1042.831310,1061.438760,68.995844,31.025904,0.000000,0.000000,10000.000000,10000.000000
Sky2,3472.748677,1884.170660,23.684800,53.273275,0.000000,0.000000,10000.000000,10000.000000
Sky3,2336.740184,1144.871440,66.320713,52.117534,0.000000,0.000000,10000.000000,10000.000000
Sky4,1443.748141,1645.955457,53.170119,49.735569,0.000000,0.000000,10000.000000,10000.000000
Sky5,3056.220894,1986.456560,38.328404,40.892267,0.000000,0.000000,10000.000000,10000.000000
Sky6,4144.123062,3045.468196,54.214705,59.340356,0.000000,0.000000,10000.000000,10000.000000
Sky7,3130.201008,1801.277761,14.952975,42.063280,0.000000,0.000000,10000.000000,10000.000000
Sky8,912.539894,2926.885215,34.537688,52.483859,0.000000,0.000000,10000.000000,10000.000000
Sky9,2670.116985,2662.206157,115.263969,46.532895,0.000000,0.000000,10000.000000,10000.000000
Sky10,3948.546132,641.218087,21.852309,29.803777,0.000000,0.000000,10000.000000,10000.000000
Sky11,3072.530373,2098.971207,8.815394,67.903056,0.000000,0.000000,10000.000000,10000.000000
Sky12,660.268879,3301.943332,89.445588,54.484436,0.000000,0.000000,10000.000000,10000.000000
Sky13,3535.150852,1438.662604,19.326504,58.733448,0.000000,0.000000,10000.000000,10000.000000
Sky14,1216.167100,4032.075950,523.296274,31.491092,0.000000,0.000000,10000.000000,10000.000000
Sky15,1645.676177,40.077990,51.186870,43.665810,0.000000,0.000000,10000.000000,10000.000000
Sky16,2434.387996,1440.840092,116.978279,27.194536,0.000000,0.000000,10000.000000,10000.000000
Sky17,2893.182118,3572.699722,85.740903,61.670043,0.000000,0.000000,10000.000000,10000.000000
Sky18,1068.795343,3852.398097,67.682069,63.672243,0.000000,0.000000,10000.000000,10000.000000
Sky19,3831.473150,2226.840254,13.875695,55.329290,0.000000,0.000000,10000.000000,10000.000000
Sky20,1771.357619,3181.144378,2015.109575,54.474126,0.000000,0.000000,10000.000000,10000.000000
Sky21,2667.067618,2114.723523,5.878239,48.609329,0.000000,0.000000,10000.000000,10000.000000
Sky22,3070.527083,1304.095288,157.693104,68.825151,0.000000,0.000000,10000.000000,10000.000000
Sky23,3499.801566,34.210488,1.221196,57.974095,0.000000,0.000000,10000.000000,10000.000000
Sky24,748.767597,2091.557713,19.012906,31.215324,0.000000,0.000000,10000.000000,10000.000000
Sky25,2830.198382,2583.979776,30.965282,49.113272,0.000000,0.000000,10000.000000,10000.000000
Sky26,1703.836170,2934.085183,59.023048,53.645954,0.000000,0.000000,10000.000000,10000.000000
Sky27,701.826369,2928.394516,22.146068,55.917759,0.000000,0.000000,10000.000000,10000.000000
Sky28,1864.220348,3561.394705,21.219105,62.397154,0.000000,0.000000,10000.000000,10000.000000
Sky29,249.978307,828.819625,32.115228,63.431900,0.000000,0.000000,10000.000000,10000.000000
Sky30,3267.578510,2762.703765,30.149219,43.879657,0.000000,0.000000,10000.000000,10000.000000
Sky31,0.000000,3991.294110,62.409817,29.362449,0.000000,0.000000,10000.000000,10000.000000
Sky32,2129.512205,2690.111567,5.100254,54.001044,0.000000,0.000000,10000.000000,10000.000000
Sky33,2330.781015,191.052257,11.122990,32.904126,0.000000,0.000000,10000.000000,10000.000000
Sky34,1994.245038,1282.654053,37.588352,60.138656,0.000000,0.000000,10000.000000,10000.000000
Sky35,2065.296243,2304.144848,16.859344,41.640990,0.000000,0.000000,10000.000000,10000.000000
Sky36,1537.447610,3614.218662,81.807984,59.009851,0.000000,0.000000,10000.000000,10000.000000
Sky37,1578.841792,1576.249892,29.603952,47.187092,0.000000,0.000000,10000.000000,10000.000000
Sky38,90.691367,2500.058788,9.139307,38.952850,0.000000,0.000000,10000.000000,10000.000000
Sky39,4079.179886,3996.859185,46.696468,32.581088,0.000000,0.000000,10000.000000,10000.000000
Sky40,1399.383409,406.883994,51.168379,36.954342,0.000000,0.000000,10000.000000,10000.000000
Sky41,1404.268710,857.318988,78.263724,60.908020,0.000000,0.000000,10000.000000,10000.000000
Sky42,2308.892809,3944.832405,165.950741,65.659308,0.000000,0.000000,10000.000000,10000.000000
Sky43,1365.020215,1827.900850,16.465751,42.428422,0.000000,0.000000,10000.000000,10000.000000
Sky44,3549.795772,3081.907715,90.539342,58.360411,0.000000,0.000000,10000.000000,10000.000000
Sky45,915.767988,3366.388107,282.045840,27.214147,0.000000,0.000000,10000.000000,10000.000000
Sky46,3189.954241,1917.153769,24.999239,54.577731,0.000000,0.000000,10000.000000,10000.000000
Sky47,3285.757905,2166.662643,12.542478,36.733600,0.000000,0.000000,10000.000000,10000.000000
Sky48,2081.423879,2954.794354,23.911094,45.345150,0.000000,0.000000,10000.000000,10000.000000
Sky49,2079.164481,3823.409073,47.376350,63.883171,0.000000,0.000000,10000.000000,10000.000000
Sky50,2364.035470,1030.823898,26.624739,65.871720,0.000000,0.000000,10000.000000,10000.000000
Sky51,559.317932,934.554844,37.336246,48.572804,0.000000,0.000000,10000.000000,10000.000000
Sky52,1426.580665,2152.689955,173.365556,66.228750,0.000000,0.000000,10000.000000,10000.000000
Sky53,2153.324678,1445.617418,50.096248,31.859143,0.000000,0.000000,10000.000000,10000.000000
Sky54,1163.385129,267.883830,96.642054,48.241367,0.000000,0.000000,10000.000000,10000.000000
Sky55,2419.773161,2999.054846,96.030721,34.025589,0.000000,0.000000,10000.000000,10000.000000
Sky56,55.294585,4160.381464,32.430419,44.704071,0.000000,0.000000,10000.000000,10000.000000
Sky57,41.538464,1050.036262,101.777043,32.497464,0.000000,0.000000,10000.000000,10000.000000
Sky58,2296.980125,3568.075705,94.767053,56.482593,0.000000,0.000000,10000.000000,10000.000000
