SkyId,pred_x1,pred_y1,pred_x2,pred_y2,pred_x3, pred_y3
Sky1,1042.812647,1061.404202,0.0,0.0,0.0,0.0
Sky2,3502.709414,3542.230723,0.0,0.0,0.0,0.0
Sky3,2336.755329,1144.868771,0.0,0.0,0.0,0.0
Sky4,1443.027575,1646.001590,0.0,0.0,0.0,0.0
Sky5,3056.301909,1986.590216,0.0,0.0,0.0,0.0
Sky6,4143.481843,3045.408108,0.0,0.0,0.0,0.0
Sky7,2927.274090,2988.086469,0.0,0.0,0.0,0.0
Sky8,912.561875,2926.804982,0.0,0.0,0.0,0.0
Sky9,2670.089312,2662.195164,0.0,0.0,0.0,0.0
Sky10,2552.305243,4147.083704,0.0,0.0,0.0,0.0
Sky11,3072.538156,2099.184100,0.0,0.0,0.0,0.0
Sky12,2539.953007,2845.862692,0.0,0.0,0.0,0.0
Sky13,3534.956910,1438.587392,0.0,0.0,0.0,0.0
Sky14,807.283741,173.334025,0.0,0.0,0.0,0.0
Sky15,1645.739797,40.225742,0.0,0.0,0.0,0.0
Sky16,2283.540658,1441.134329,0.0,0.0,0.0,0.0
Sky17,810.641486,233.157202,0.0,0.0,0.0,0.0
Sky18,1480.152082,1050.119515,0.0,0.0,0.0,0.0
Sky19,472.227436,113.477725,0.0,0.0,0.0,0.0
Sky20,3932.537234,3578.557115,0.0,0.0,0.0,0.0
Sky21,2667.096462,2114.687420,0.0,0.0,0.0,0.0
Sky22,3070.472668,1303.399097,0.0,0.0,0.0,0.0
Sky23,3717.438192,3569.482830,0.0,0.0,0.0,0.0
Sky24,1547.262762,2012.321419,0.0,0.0,0.0,0.0
Sky25,2830.207531,2583.965648,0.0,0.0,0.0,0.0
Sky26,1640.591780,2718.374881,0.0,0.0,0.0,0.0
Sky27,2442.382766,3638.883574,0.0,0.0,0.0,0.0
Sky28,1865.262094,3557.972786,0.0,0.0,0.0,0.0
Sky29,268.549476,0.000011,0.0,0.0,0.0,0.0
Sky30,3267.723278,2762.799362,0.0,0.0,0.0,0.0
Sky31,2907.682690,1994.465972,0.0,0.0,0.0,0.0
Sky32,2129.570649,2689.923226,0.0,0.0,0.0,0.0
Sky33,2767.762396,1617.156395,0.0,0.0,0.0,0.0
Sky34,2967.776873,2378.714014,0.0,0.0,0.0,0.0
Sky35,2065.300236,2304.128330,0.0,0.0,0.0,0.0
Sky36,1537.461375,3614.196016,0.0,0.0,0.0,0.0
Sky37,1578.798973,1576.230017,0.0,0.0,0.0,0.0
Sky38,232.155655,245.776148,0.0,0.0,0.0,0.0
Sky39,3478.745015,2235.768098,0.0,0.0,0.0,0.0
Sky40,1399.492876,406.810645,0.0,0.0,0.0,0.0
Sky41,3408.088919,3958.358935,0.0,0.0,0.0,0.0
Sky42,1580.855925,2151.990205,0.0,0.0,0.0,0.0
Sky43,1364.962127,1827.563131,0.0,0.0,0.0,0.0
Sky44,3549.795740,3081.907694,0.0,0.0,0.0,0.0
Sky45,2265.679926,2985.191109,0.0,0.0,0.0,0.0
Sky46,3189.734019,1917.519024,0.0,0.0,0.0,0.0
Sky47,3285.719714,2166.762555,0.0,0.0,0.0,0.0
Sky48,2081.779322,2954.716899,0.0,0.0,0.0,0.0
Sky49,2079.236395,3823.287335,0.0,0.0,0.0,0.0
Sky50,3024.772518,2829.857067,0.0,0.0,0.0,0.0
Sky51,559.331658,934.702175,0.0,0.0,0.0,0.0
Sky52,3790.161566,4155.188998,0.0,0.0,0.0,0.0
Sky53,1477.592375,1292.635688,0.0,0.0,0.0,0.0
Sky54,2277.550774,2491.762755,0.0,0.0,0.0,0.0
Sky55,2419.328743,2998.581960,0.0,0.0,0.0,0.0
Sky56,401.808906,946.375999,0.0,0.0,0.0,0.0
Sky57,1523.482825,1915.683018,0.0,0.0,0.0,0.0
Sky58,513.680078,48.939311,0.0,0.0,0.0,0.0
Sky59,1042.217427,863.674295,0.0,0.0,0.0,0.0
Sky60,4199.999749,4199.999982,0.0,0.0,0.0,0.0
Sky61,2675.678870,3388.668326,0.0,0.0,0.0,0.0
Sky62,3578.787537,3546.732246,0.0,0.0,0.0,0.0
Sky63,3398.301685,2587.611192,0.0,0.0,0.0,0.0
Sky64,3284.416047,762.727508,0.0,0.0,0.0,0.0
