SkyId,pred_x1,pred_y1,pred_d,pred_norm,best_x1,best_y1,best_norm,best_norm
Sky1,1042.831310,1061.438760,68.995844,31.025904,1042.854819,1061.435193,31.025904,68.983614
Sky2,3472.748677,1884.170662,23.684798,53.273275,3472.736511,1884.179385,53.273276,23.678821
Sky3,2336.740211,1144.871436,66.320717,52.117534,2336.740184,1144.871440,52.117534,66.320713
Sky4,1443.751342,1645.980298,53.153594,49.735569,1443.635684,1646.103833,49.735570,52.984445
Sky5,3056.221745,1986.457272,38.327346,40.892267,3056.227383,1986.465864,40.892267,38.318857
Sky6,4144.075349,3045.546179,54.126591,59.340356,4144.085265,3045.626126,59.340356,54.052476
Sky7,3130.201008,1801.277761,14.952975,42.063280,3130.204530,1801.275111,42.063284,14.951946
Sky8,912.539894,2926.885215,34.537688,52.483859,912.551566,2926.848732,52.483859,34.509437
Sky9,2670.116812,2662.205472,115.263697,46.532895,2648.744737,2615.033442,46.542278,97.432164
Sky10,3948.546132,641.218087,21.852309,29.803777,3948.556733,641.221428,29.803777,21.849542
Sky11,3072.530373,2098.971207,8.815394,67.903056,3072.475499,2098.919068,67.903058,8.749158
Sky12,660.244402,3301.854079,89.363315,54.484436,659.437565,3301.558978,54.484450,88.600801
Sky13,3535.150857,1438.662605,19.326500,58.733448,3535.157400,1438.659654,58.733448,19.319358
Sky14,1216.177541,4032.069058,523.285430,31.491092,1500.274397,3970.739431,31.536596,239.997240
Sky15,1645.688213,40.065089,51.184596,43.665810,1645.598799,39.864677,43.665813,50.973203
Sky16,2434.379706,1440.817092,117.002721,27.194536,2434.384963,1440.831549,27.194536,116.987341
Sky17,2893.182118,3572.699722,85.740903,61.670043,2893.265927,3572.744901,61.670043,85.675294
Sky18,1068.795436,3852.398137,67.682115,63.672243,1068.798136,3852.358509,63.672244,67.642683
Sky19,3831.493860,2226.829772,13.896499,55.329290,3829.952775,2226.139476,55.329327,13.624620
Sky20,1771.357619,3181.144378,2015.109575,54.474126,114.474158,3712.218472,54.724924,492.485291
Sky21,2667.067629,2114.723532,5.878225,48.609329,2667.070048,2114.720563,48.609329,5.876499
