SkyId,pred_x1,pred_y1,pred_x2,pred_y2,pred_x3, pred_y3
Sky1,1738.589144,2007.282461,0.000000,0.000000,0.000000,0.000000
Sky2,3940.254174,2826.356974,0.000000,0.000000,0.000000,0.000000
Sky3,2783.090488,1900.921861,0.000000,0.000000,0.000000,0.000000
Sky4,2100.471719,1855.687540,0.000000,0.000000,0.000000,0.000000
Sky5,3325.120522,2455.162514,0.000000,0.000000,0.000000,0.000000
Sky6,4150.069057,3939.178047,0.000000,0.000000,0.000000,0.000000
Sky7,3358.458031,1929.799864,0.000000,0.000000,0.000000,0.000000
Sky8,877.947404,3594.859200,0.000000,0.000000,0.000000,0.000000
Sky9,2683.822201,3873.179356,0.000000,0.000000,0.000000,0.000000
Sky10,2301.336950,1022.400446,0.000000,0.000000,0.000000,0.000000
Sky11,3513.202924,2392.126723,0.000000,0.000000,0.000000,0.000000
Sky12,1284.453065,3943.787492,0.000000,0.000000,0.000000,0.000000
Sky13,2134.636486,2050.510764,0.000000,0.000000,0.000000,0.000000
Sky14,2255.691070,2100.000000,0.000000,0.000000,0.000000,0.000000
Sky15,1412.935745,316.411713,0.000000,0.000000,0.000000,0.000000
Sky16,3109.967455,1720.575152,0.000000,0.000000,0.000000,0.000000
Sky17,3524.229423,3714.272974,0.000000,0.000000,0.000000,0.000000
Sky18,1118.368536,2101.441297,0.000000,0.000000,0.000000,0.000000
Sky19,2098.590341,2677.916612,0.000000,0.000000,0.000000,0.000000
Sky20,110.833210,2100.000000,0.000000,0.000000,0.000000,0.000000
Sky21,2784.673265,3215.000656,0.000000,0.000000,0.000000,0.000000
Sky22,4072.714525,2072.515702,0.000000,0.000000,0.000000,0.000000
Sky23,3502.197113,767.272367,0.000000,0.000000,0.000000,0.000000
Sky24,1712.872657,2921.200250,0.000000,0.000000,0.000000,0.000000
Sky25,3736.136092,2741.092355,0.000000,0.000000,0.000000,0.000000
Sky26,1515.945793,2164.458816,0.000000,0.000000,0.000000,0.000000
Sky27,1018.660811,3937.681564,0.000000,0.000000,0.000000,0.000000
Sky28,2120.423077,3827.085355,0.000000,0.000000,0.000000,0.000000
Sky29,806.065739,1431.081407,0.000000,0.000000,0.000000,0.000000
Sky30,3647.463351,2922.696818,0.000000,0.000000,0.000000,0.000000
Sky31,667.301014,2220.579757,0.000000,0.000000,0.000000,0.000000
