SkyId,pred_x1,pred_y1,pred_x2,pred_y2,pred_x3, pred_y3
Sky1,300.000000,3800.000000,0.000000,0.000000,0.000000,0.000000
Sky2,3600.000000,1900.000000,0.000000,0.000000,0.000000,0.000000
Sky3,2250.000000,750.000000,0.000000,0.000000,0.000000,0.000000
Sky4,2900.000000,1500.000000,0.000000,0.000000,0.000000,0.000000
Sky5,3250.000000,2100.000000,0.000000,0.000000,0.000000,0.000000
Sky6,4200.000000,2800.000000,0.000000,0.000000,0.000000,0.000000
Sky7,2750.000000,1650.000000,0.000000,0.000000,0.000000,0.000000
Sky8,1000.000000,3050.000000,0.000000,0.000000,0.000000,0.000000
Sky9,2450.000000,2250.000000,0.000000,0.000000,0.000000,0.000000
Sky10,3850.000000,550.000000,0.000000,0.000000,0.000000,0.000000
Sky11,3000.000000,2250.000000,0.000000,0.000000,0.000000,0.000000
Sky12,2550.000000,1950.000000,0.000000,0.000000,0.000000,0.000000
Sky13,3450.000000,1150.000000,0.000000,0.000000,0.000000,0.000000
Sky14,150.000000,600.000000,0.000000,0.000000,0.000000,0.000000
Sky15,1950.000000,500.000000,0.000000,0.000000,0.000000,0.000000
Sky16,4000.000000,150.000000,0.000000,0.000000,0.000000,0.000000
Sky17,400.000000,2400.000000,0.000000,0.000000,0.000000,0.000000
Sky18,1250.000000,1600.000000,0.000000,0.000000,0.000000,0.000000
Sky19,200.000000,900.000000,0.000000,0.000000,0.000000,0.000000
Sky20,3350.000000,3350.000000,0.000000,0.000000,0.000000,0.000000
Sky21,3100.000000,950.000000,0.000000,0.000000,0.000000,0.000000
Sky22,3250.000000,1700.000000,0.000000,0.000000,0.000000,0.000000
Sky23,3450.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Sky24,850.000000,2200.000000,0.000000,0.000000,0.000000,0.000000
Sky25,2500.000000,2400.000000,0.000000,0.000000,0.000000,0.000000
Sky26,1700.000000,2800.000000,0.000000,0.000000,0.000000,0.000000
Sky27,3450.000000,3200.000000,0.000000,0.000000,0.000000,0.000000
Sky28,1150.000000,600.000000,0.000000,0.000000,0.000000,0.000000
Sky29,100.000000,700.000000,0.000000,0.000000,0.000000,0.000000
Sky30,1500.000000,2650.000000,0.000000,0.000000,0.000000,0.000000
Sky31,2600.000000,300.000000,0.000000,0.000000,0.000000,0.000000
Sky32,2150.000000,2650.000000,0.000000,0.000000,0.000000,0.000000
Sky33,2350.000000,250.000000,0.000000,0.000000,0.000000,0.000000
Sky34,3250.000000,1400.000000,0.000000,0.000000,0.000000,0.000000
Sky35,2250.000000,3250.000000,0.000000,0.000000,0.000000,0.000000
Sky36,2350.000000,3500.000000,0.000000,0.000000,0.000000,0.000000
Sky37,1700.000000,1500.000000,0.000000,0.000000,0.000000,0.000000
